DateTime,Junction,Vehicles,ID,hour,day_of_week,day,month,year,is_weekend,is_peak_hour,lag_1,lag_2,lag_3,lag_24,rolling_mean_3,rolling_mean_6,rolling_mean_24,target
2015-11-02 00:00:00,1,14,20151102001,0,0,2,11,2015,0,0,15.0,20.0,19.0,15.0,18.0,18.0,13.625,12.0
2015-11-02 01:00:00,1,12,20151102011,1,0,2,11,2015,0,0,14.0,15.0,20.0,13.0,16.333333333333332,17.5,13.583333333333334,14.0
2015-11-02 02:00:00,1,14,20151102021,2,0,2,11,2015,0,0,12.0,14.0,15.0,10.0,13.666666666666666,16.166666666666668,13.541666666666666,12.0
2015-11-02 03:00:00,1,12,20151102031,3,0,2,11,2015,0,0,14.0,12.0,14.0,7.0,13.333333333333334,15.666666666666666,13.708333333333334,12.0
2015-11-02 04:00:00,1,12,20151102041,4,0,2,11,2015,0,0,12.0,14.0,12.0,9.0,12.666666666666666,14.5,13.916666666666666,11.0
2015-11-02 05:00:00,1,11,20151102051,5,0,2,11,2015,0,0,12.0,12.0,14.0,6.0,12.666666666666666,13.166666666666666,14.041666666666666,13.0
2015-11-02 06:00:00,1,13,20151102061,6,0,2,11,2015,0,0,11.0,12.0,12.0,9.0,11.666666666666666,12.5,14.25,14.0
2015-11-02 07:00:00,1,14,20151102071,7,0,2,11,2015,0,1,13.0,11.0,12.0,8.0,12.0,12.333333333333334,14.416666666666666,12.0
2015-11-02 08:00:00,1,12,20151102081,8,0,2,11,2015,0,1,14.0,13.0,11.0,11.0,12.666666666666666,12.666666666666666,14.666666666666666,22.0
2015-11-02 09:00:00,1,22,20151102091,9,0,2,11,2015,0,1,12.0,14.0,13.0,12.0,13.0,12.333333333333334,14.708333333333334,32.0
2015-11-02 10:00:00,1,32,20151102101,10,0,2,11,2015,0,1,22.0,12.0,14.0,15.0,16.0,14.0,15.125,31.0
2015-11-02 11:00:00,1,31,20151102111,11,0,2,11,2015,0,0,32.0,22.0,12.0,17.0,22.0,17.333333333333332,15.833333333333334,35.0
2015-11-02 12:00:00,1,35,20151102121,12,0,2,11,2015,0,0,31.0,32.0,22.0,16.0,28.333333333333332,20.666666666666668,16.416666666666668,26.0
2015-11-02 13:00:00,1,26,20151102131,13,0,2,11,2015,0,0,35.0,31.0,32.0,15.0,32.666666666666664,24.333333333333332,17.208333333333332,34.0
2015-11-02 14:00:00,1,34,20151102141,14,0,2,11,2015,0,0,26.0,35.0,31.0,16.0,30.666666666666668,26.333333333333332,17.666666666666668,30.0
2015-11-02 15:00:00,1,30,20151102151,15,0,2,11,2015,0,0,34.0,26.0,35.0,12.0,31.666666666666668,30.0,18.416666666666668,27.0
2015-11-02 16:00:00,1,27,20151102161,16,0,2,11,2015,0,1,30.0,34.0,26.0,12.0,30.0,31.333333333333332,19.166666666666668,27.0
2015-11-02 17:00:00,1,27,20151102171,17,0,2,11,2015,0,1,27.0,30.0,34.0,16.0,30.333333333333332,30.5,19.791666666666668,24.0
2015-11-02 18:00:00,1,24,20151102181,18,0,2,11,2015,0,1,27.0,27.0,30.0,17.0,28.0,29.833333333333332,20.25,26.0
2015-11-02 19:00:00,1,26,20151102191,19,0,2,11,2015,0,1,24.0,27.0,27.0,20.0,26.0,28.0,20.541666666666668,29.0
2015-11-02 20:00:00,1,29,20151102201,20,0,2,11,2015,0,1,26.0,24.0,27.0,17.0,25.666666666666668,28.0,20.791666666666668,32.0
2015-11-02 21:00:00,1,32,20151102211,21,0,2,11,2015,0,0,29.0,26.0,24.0,19.0,26.333333333333332,27.166666666666668,21.291666666666668,30.0
2015-11-02 22:00:00,1,30,20151102221,22,0,2,11,2015,0,0,32.0,29.0,26.0,20.0,29.0,27.5,21.833333333333332,27.0
